中央台,#genre#
CCTV1,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000036/main.m3u8?blog.ntnas.top
CCTV1,http://39.134.13.35:6610/180000001001/00000001000000001001000000000036/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.13.35:6610/180000001001/00000001000000000002000000027984/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://111.23.232.117:80/180000001001/00000001000000000002000000027984/main.m3u8
CCTV1,http://111.23.232.117:80/180000001001/00000001000000001001000000000036/main.m3u87
CCTV1,http://39.134.240.3/PLTV/2/224/3221226134/index.m3u8
CCTV1,http://39.134.249.218/wh7f454c46tw3701925654_-76977918/180000001002/00000001000000000007000000001243/main.m3u8?IASHttpSessionId=RR984520241026093019219665&icpid=2&RTS=1729934924&from=9&hms_devid=24593&online=1729934924&vqe=3
CCTV1,http://tvgslb.hn.chinamobile.com:8089/000000001000/1000000001000021973/1.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000007000000001243/main.m3u8
CCTV1,http://111.23.232.117:80/180000001001/00000001000000001001000000000036/main.m3u8
CCTV1,http://36.158.166.3:8089/180000001002/00000001000000000007000000001243/main.m3u8
CCTV1,http://tvgslb.hn.chinamobile.com:8089/180000001001/00000001000000000007000000001243/index.m3u8
CCTV1,http://39.134.240.3/PLTV/2/224/3221225886/index.m3u8
CCTV1,http://39.134.240.2/PLTV/1/224/3221226098/index.m3u8
CCTV1,http://39.134.240.2/PLTV/2/224/3221226134/index.m3u8
CCTV1,http://39.134.240.2/PLTV/2/224/3221225886/index.m3u8
CCTV1,http://39.134.240.3/PLTV/1/224/3221226098/index.m3u8
CCTV1,http://183.215.116.134:6610/180000001001/00000000000000020000000000182562/main.m3u8?IASHttpSessionId=OTT
CCTV1,http://183.215.116.134:6610/180000001001/00000001000000000002000000027984/main.m3u8?IASHttpSessionId=OTT
